user_id,item_id,SessionDuration,SessionsPerWeek,CourseCompletion,rating,QuizScores
2422,11,0.0877193,0.375,1.0,4,0.5674742
1570,10,0.42105263,0.5,0.0,4,0.73566365
1218,9,0.37719297,0.25,0.0,2,0.46418962
2143,10,0.4385965,0.75,0.0,5,0.43279594
2403,3,0.5964912,0.5,0.0,4,0.5883078
1243,19,0.71929824,0.5,0.0,2,0.17207259
589,19,0.40350878,0.125,0.0,2,0.7817495
1524,5,0.49122807,0.75,1.0,5,0.5889967
365,6,0.27192983,0.375,0.0,2,0.6566747
624,8,0.13157895,0.625,0.0,2,0.38968238
2184,15,0.20175439,0.125,0.0,1,0.6148621
1760,19,0.9298246,0.625,0.0,2,0.7958337
535,8,0.24561404,0.75,1.0,4,0.99867976
2344,16,0.42982456,0.125,0.0,1,0.87739456
1663,4,0.02631579,0.625,1.0,1,0.096852876
333,12,0.2631579,0.375,1.0,5,0.19490714
2016,13,0.61403507,0.875,1.0,2,0.91225785
1997,3,0.04385965,1.0,0.0,1,0.26376432
519,2,0.20175439,0.375,1.0,4,0.019761795
200,6,0.8333333,0.0,0.0,4,0.0109741455
521,14,0.5263158,0.625,1.0,2,0.8190208
1109,0,0.33333334,0.875,0.0,4,0.82800066
511,9,0.9649123,0.0,0.0,5,0.43273905
1579,6,0.2982456,0.875,0.0,5,0.046268813
1482,15,0.6315789,0.375,0.0,3,0.44351265
124,14,0.7017544,0.875,0.0,1,0.540419
794,19,0.23684211,0.0,0.0,1,0.0047110557
2154,7,0.85087717,0.5,0.0,4,0.88282746
231,9,0.61403507,0.75,1.0,1,0.15685087
1392,7,0.94736844,0.125,1.0,3,0.19187227
98,10,0.68421054,0.625,1.0,4,0.067358375
1204,7,0.84210527,0.5,0.0,4,0.62124133
1846,7,0.27192983,0.75,1.0,5,0.12175026
2487,15,0.28070176,0.75,1.0,1,0.32293618
399,15,0.5877193,0.875,1.0,5,0.8840396
1898,13,0.27192983,0.875,0.0,2,0.6552943
1066,1,0.8684211,0.875,1.0,4,0.3608387
1923,14,0.47368422,1.0,1.0,2,0.2743285
2328,3,0.45614034,0.75,1.0,1,0.40069568
1427,7,0.9649123,1.0,1.0,4,0.9263997
759,8,0.6403509,0.375,1.0,2,0.12152535
414,4,0.13157895,0.125,0.0,4,0.4942951
1357,17,0.12280702,0.875,1.0,5,0.85257757
1364,10,0.6315789,0.875,1.0,4,0.4796827
62,17,0.12280702,0.0,1.0,2,0.90853107
518,4,0.06140351,0.125,1.0,5,0.6737265
1802,12,0.2631579,0.375,0.0,5,0.4676346
1967,2,0.01754386,0.0,0.0,5,0.7519723
386,8,0.6403509,1.0,0.0,1,0.6677111
828,11,0.22807017,0.0,0.0,3,0.3113968
135,16,0.02631579,0.375,0.0,2,0.4810445
1796,10,0.85087717,0.625,0.0,1,0.17323622
2398,5,0.34210527,0.625,1.0,4,0.64887565
2033,15,0.5350877,1.0,0.0,2,0.7437871
2153,2,0.05263158,0.5,0.0,3,0.039660547
1444,12,0.16666667,0.25,0.0,4,0.04912436
2111,1,0.3859649,0.875,1.0,2,0.10389866
1383,12,0.0877193,0.5,1.0,2,0.2933008
760,13,0.5701754,1.0,0.0,4,0.32695457
1680,9,0.6403509,0.375,1.0,4,0.83403856
25,12,0.7631579,0.25,0.0,5,0.20664532
1716,13,0.01754386,0.375,0.0,1,0.58116484
2014,8,0.9122807,0.25,1.0,3,0.17319575
1248,7,0.7719298,0.625,0.0,1,0.40883067
1581,13,0.02631579,0.75,1.0,1,0.18157427
890,19,1.0,0.125,0.0,3,0.33274835
497,18,0.3508772,1.0,0.0,3,0.7350653
778,0,0.7105263,0.75,1.0,2,0.26178074
301,13,0.32456142,0.5,1.0,5,0.6791665
336,8,0.6052632,0.5,0.0,4,0.686462
462,6,0.18421052,0.0,1.0,1,0.21046866
1450,9,0.8333333,0.5,0.0,3,0.16212817
2088,2,0.25438598,0.375,1.0,4,0.08624173
1142,2,0.65789473,0.25,0.0,1,0.60777676
950,5,0.10526316,1.0,1.0,2,0.898375
1992,15,0.68421054,1.0,1.0,5,0.18903306
777,1,0.5263158,0.75,0.0,2,0.08743808
2250,15,0.74561405,0.375,0.0,5,0.66118425
273,14,0.95614034,0.375,0.0,3,0.41455996
1972,6,0.2982456,0.625,0.0,2,0.8905385
2495,7,0.9035088,0.75,1.0,4,0.32413486
12,14,0.31578946,0.375,0.0,2,0.1660599
1822,14,0.47368422,0.75,0.0,4,0.4293907
536,8,0.21929824,0.375,0.0,5,0.5753141
893,3,0.9736842,1.0,1.0,1,0.30896378
435,11,0.14035088,0.125,0.0,2,0.6327181
2240,18,0.19298245,0.75,1.0,5,0.09121952
1377,15,0.7280702,0.75,1.0,2,0.19969153
2362,5,0.32456142,0.25,0.0,3,0.960719
1817,1,0.877193,0.25,0.0,4,0.042707186
537,11,0.95614034,0.0,1.0,5,0.36528996
1139,11,0.7894737,0.0,0.0,5,0.58325446
1095,16,0.88596493,0.25,1.0,2,0.8940556
1034,7,0.7631579,0.375,1.0,5,0.4429458
1654,10,0.5964912,1.0,0.0,5,0.8756714
916,1,0.7017544,1.0,1.0,2,0.87112457
649,19,0.5,0.625,1.0,1,0.93084335
2317,2,0.078947365,1.0,1.0,2,0.4274747
513,9,0.8947368,0.25,0.0,1,0.46476442
2457,0,0.6754386,0.25,1.0,4,0.8763147
1227,8,0.0877193,0.625,1.0,3,0.23352253
1140,4,0.57894737,0.75,0.0,2,0.8625461
654,8,0.65789473,0.625,1.0,1,0.06473676
1788,18,0.3508772,0.0,1.0,3,0.7207485
1161,19,0.5263158,0.625,0.0,2,0.09493001
268,16,0.35964912,0.5,1.0,1,0.63257045
889,13,0.78070176,0.625,0.0,2,0.80269444
693,2,0.31578946,0.875,1.0,4,0.56606984
1448,12,0.15789473,0.25,0.0,3,0.7239307
2276,17,0.28070176,0.125,0.0,5,0.25863168
1715,19,0.55263156,0.75,1.0,3,0.24713068
1825,19,0.6403509,1.0,0.0,4,0.16931012
304,8,0.24561404,0.0,1.0,2,0.7271109
418,13,0.1491228,0.25,1.0,4,0.67702
2410,18,0.28070176,0.25,0.0,1,0.4188654
684,1,0.5263158,0.875,1.0,3,0.85340595
634,15,0.21929824,0.375,0.0,5,0.040711682
2006,17,0.6666667,0.0,0.0,4,0.90795314
2376,7,0.36842105,0.625,1.0,1,0.5187578
2430,0,0.6052632,0.0,1.0,1,0.08259623
615,7,0.8245614,0.625,0.0,1,0.79624945
1696,17,0.42982456,0.375,1.0,2,0.01585224
1767,19,0.4385965,0.625,1.0,5,0.20466357
1149,18,0.7894737,0.875,1.0,5,0.5200641
958,6,0.92105263,0.875,1.0,4,0.6991805
1352,12,0.19298245,0.625,0.0,3,0.80365986
1307,9,0.7368421,1.0,1.0,5,0.16916072
2086,6,0.18421052,0.875,0.0,2,0.3063048
2296,13,0.6666667,0.5,0.0,4,0.75459695
1905,2,0.64912283,0.375,0.0,1,0.06641262
971,14,0.32456142,0.75,0.0,4,0.024026306
1839,6,0.8596491,0.375,1.0,5,0.92152435
2001,5,0.28947368,0.125,1.0,2,0.35570362
920,3,0.84210527,0.0,1.0,1,0.40929943
1856,2,0.5877193,0.5,0.0,3,0.5139021
2027,19,0.55263156,0.25,0.0,1,0.028699704
1318,8,0.06140351,0.875,1.0,2,0.5396489
1321,6,0.7105263,0.75,0.0,3,0.31681144
827,0,0.14035088,0.0,1.0,1,0.08167129
1390,19,0.69298244,0.125,1.0,1,0.36472452
392,0,0.78070176,0.25,1.0,3,0.4584051
114,16,0.7105263,0.75,1.0,2,0.8495804
468,15,0.25438598,0.375,0.0,1,0.21128084
2382,13,0.74561405,0.75,0.0,1,0.46866253
956,0,0.78070176,0.0,0.0,5,0.45247674
355,8,0.4473684,0.0,0.0,2,0.61533314
1497,16,0.85087717,0.375,1.0,4,0.972155
1225,19,0.4385965,1.0,0.0,5,0.27872825
1077,18,0.39473686,0.375,1.0,4,0.26886255
2182,14,0.10526316,0.25,0.0,4,0.23105817
2194,14,0.00877193,0.125,1.0,3,0.58715117
2238,18,0.55263156,0.125,0.0,1,0.73364055
143,15,0.31578946,0.625,1.0,4,0.29675415
2494,11,0.9385965,1.0,0.0,1,0.28175658
1943,13,0.7105263,0.625,1.0,1,0.6878599
277,19,0.15789473,0.375,1.0,5,0.7809792
189,14,0.84210527,0.125,1.0,2,0.96999216
368,15,0.2631579,0.625,1.0,3,0.32718503
1836,0,0.6315789,0.625,1.0,1,0.8836781
1899,2,0.5,0.125,1.0,1,0.98333913
2108,6,0.23684211,0.375,1.0,1,0.8842415
484,9,0.34210527,0.375,0.0,5,0.1693306
1602,17,0.096491225,0.375,1.0,1,0.5487192
834,10,0.92105263,0.625,0.0,4,0.35621482
998,9,0.40350878,0.125,1.0,4,0.82994306
772,16,0.622807,0.25,0.0,5,0.99561083
988,10,0.5701754,0.625,1.0,4,0.72373015
1884,19,0.6052632,0.25,0.0,4,0.45580834
239,11,0.64912283,0.125,0.0,4,0.23325947
2295,18,0.5701754,0.125,0.0,3,0.60703754
2079,9,0.2982456,0.125,0.0,4,0.33891562
1320,6,0.8596491,0.375,0.0,2,0.25875413
1521,2,0.12280702,0.0,1.0,1,0.3514333
2424,5,0.16666667,0.375,1.0,5,0.5491332
447,11,0.5263158,0.75,0.0,1,0.64849055
648,7,0.64912283,0.0,0.0,1,0.52370983
1790,14,0.7631579,0.625,1.0,1,0.7421624
921,0,0.877193,0.0,0.0,1,0.992975
2393,2,0.5614035,0.125,0.0,2,0.4754019
2287,15,0.24561404,0.0,0.0,4,0.85096836
1765,1,0.88596493,0.75,0.0,4,0.91973084
1378,10,0.31578946,0.5,0.0,3,0.14268444
236,9,0.78070176,0.0,1.0,3,0.7923454
1719,13,0.2982456,0.0,0.0,5,0.46676767
733,3,0.6052632,0.5,1.0,5,0.8798243
2074,2,0.15789473,0.375,1.0,1,0.28495023
2325,16,0.99122804,0.375,0.0,4,0.8958361
869,7,0.22807017,0.125,0.0,2,0.02573759
2340,6,0.8245614,0.75,1.0,3,0.3885538
180,0,0.622807,0.125,0.0,4,0.22415352
739,10,0.65789473,1.0,0.0,2,0.1251988
2084,0,0.99122804,0.625,0.0,4,0.9105866
1249,18,0.24561404,0.0,0.0,5,0.016691202
2057,15,0.10526316,0.75,1.0,1,0.2724093
188,16,0.6403509,0.5,0.0,5,0.575285
957,14,0.5614035,0.5,1.0,1,0.115297355
1058,4,0.0877193,0.125,1.0,4,0.54230857
2091,4,0.68421054,0.5,1.0,4,0.59581494
1306,15,0.25438598,0.375,0.0,3,0.5787368
2292,13,0.40350878,0.875,1.0,2,0.6722946
323,9,0.95614034,0.875,0.0,3,0.8825558
251,1,0.6315789,0.5,0.0,3,0.23570761
1273,6,0.50877196,1.0,1.0,4,0.7760881
488,7,0.22807017,0.5,0.0,2,0.4151577
60,17,0.8947368,0.25,1.0,4,0.9886738
1940,7,0.50877196,0.625,0.0,3,0.88432044
2160,4,0.9736842,0.125,1.0,4,0.39218682
1395,19,0.7719298,0.25,1.0,2,0.7867098
880,13,0.114035085,0.75,1.0,1,0.6619615
2065,1,0.3859649,0.5,0.0,2,0.07960681
381,8,0.14035088,0.25,0.0,4,0.3077369
1776,12,0.9122807,1.0,1.0,4,0.6192209
297,4,0.36842105,0.125,0.0,1,0.5150314
825,4,0.7631579,1.0,0.0,2,0.17617366
917,2,0.7105263,0.875,0.0,1,0.14317971
539,10,0.8947368,0.25,0.0,1,0.09016131
2075,10,0.7105263,1.0,0.0,1,0.08326912
410,11,0.6403509,0.125,1.0,4,0.8075919
1443,10,0.85087717,0.5,1.0,5,0.58095604
1887,3,0.19298245,0.625,1.0,3,0.9551924
102,12,0.6666667,0.625,0.0,2,0.5356436
1532,6,0.54385966,0.625,1.0,2,0.92245734
382,15,0.61403507,1.0,1.0,3,0.43825546
2146,8,0.8333333,0.75,0.0,2,0.15823878
1901,9,0.6403509,0.0,1.0,4,0.9458098
1542,6,0.6666667,0.625,1.0,4,0.18283182
580,19,0.7894737,0.875,1.0,3,0.88917816
1333,18,0.05263158,0.75,1.0,2,0.2724145
909,12,0.68421054,0.5,1.0,2,0.1423845
207,2,0.99122804,0.0,1.0,5,0.0659963
2103,13,0.114035085,0.125,1.0,3,0.19485535
2380,4,0.88596493,0.875,0.0,5,0.7488828
1858,4,0.94736844,1.0,0.0,2,0.99642
1850,18,0.35964912,0.375,1.0,1,0.92980283
742,15,0.99122804,0.375,1.0,4,0.49373224
2246,18,0.71929824,1.0,0.0,2,0.7760041
2067,11,0.00877193,1.0,0.0,1,0.62197113
888,7,0.32456142,0.75,0.0,2,0.95872307
852,19,0.27192983,0.75,0.0,1,0.9255729
213,7,0.28070176,0.375,1.0,1,0.41684696
467,11,0.04385965,0.875,0.0,2,0.30825698
606,15,0.98245615,1.0,1.0,3,0.5068302
1799,17,0.92105263,0.25,0.0,2,0.41408277
2013,5,0.33333334,0.75,1.0,2,0.18497042
1709,17,0.4122807,0.0,1.0,2,0.93584234
2473,5,0.114035085,0.0,1.0,5,7.5634457e-06
967,12,0.0,0.5,0.0,4,0.504912
391,12,0.22807017,0.625,0.0,5,0.8282522
2207,14,0.4649123,0.375,0.0,1,0.026364677
1297,8,0.92105263,1.0,0.0,3,0.9831833
2064,6,0.06140351,0.75,0.0,4,0.29947358
352,18,0.80701756,0.0,1.0,1,0.79182863
2152,2,0.8245614,0.0,1.0,3,0.9654086
2433,8,0.7894737,0.0,0.0,1,0.70430815
1769,6,0.85087717,0.625,0.0,5,0.5328872
993,14,0.88596493,0.5,1.0,4,0.25924504
122,19,0.50877196,0.0,1.0,3,0.9870183
2228,15,0.6315789,0.0,0.0,4,0.9397166
1416,14,0.01754386,0.25,0.0,4,0.40560555
732,18,0.3859649,0.0,1.0,3,0.093592644
2400,16,0.30701753,0.75,0.0,4,0.39440495
620,3,0.21929824,0.875,0.0,1,0.3497841
815,14,0.24561404,0.125,0.0,2,0.7488982
1451,8,0.33333334,0.5,0.0,1,0.52223355
2015,14,0.80701756,0.25,0.0,3,0.5516706
1334,5,0.92105263,0.25,1.0,3,0.5997729
1900,11,0.30701753,0.75,1.0,4,0.342117
505,17,0.28947368,0.0,0.0,2,0.11711358
651,16,0.07017544,0.125,0.0,2,0.68228745
1555,16,0.94736844,0.75,0.0,1,0.49187762
235,12,0.3859649,0.0,0.0,1,0.92730165
2283,9,0.0,0.75,0.0,3,0.6745797
362,1,0.096491225,0.5,0.0,2,0.13266294
387,1,0.48245615,0.0,1.0,5,0.27511865
1987,18,0.16666667,0.75,1.0,2,0.68313026
183,2,0.8596491,0.5,0.0,3,0.41803202
310,3,0.877193,0.25,1.0,4,0.06296776
1200,14,0.07017544,0.875,0.0,4,0.9128915
2415,18,0.4122807,0.375,1.0,3,0.043362122
344,19,0.28947368,0.75,1.0,5,0.20975593
1537,6,0.48245615,0.625,1.0,5,0.21081491
2226,9,0.5701754,0.875,0.0,4,0.38065806
2204,0,0.1491228,0.5,1.0,4,0.5774482
48,16,0.42982456,0.5,1.0,5,0.80301064
2377,14,0.5614035,0.75,1.0,1,0.6566793
595,14,0.622807,0.5,1.0,1,0.07393947
1672,0,0.4385965,0.0,1.0,4,0.5113199
1129,7,0.6666667,0.625,0.0,4,0.81328684
1257,18,0.27192983,0.0,0.0,1,0.59424543
2368,17,0.8245614,0.125,0.0,5,0.11801816
1445,7,0.0,1.0,1.0,3,0.28309256
2397,11,0.54385966,0.375,0.0,4,0.04717038
792,6,0.47368422,0.25,1.0,1,0.35854104
1251,17,0.50877196,0.875,0.0,5,0.084077716
1244,8,0.99122804,0.625,0.0,1,0.43305877
523,19,0.35964912,0.625,0.0,4,0.23096386
2348,12,0.5701754,0.125,0.0,4,0.90536225
227,3,0.8596491,1.0,1.0,5,0.63307077
1456,6,0.21929824,0.5,1.0,2,0.48407164
1487,2,0.61403507,0.875,1.0,1,0.80490756
2474,8,0.0,1.0,1.0,3,0.92941105
1627,3,0.16666667,0.25,1.0,3,0.68856126
265,18,0.10526316,0.0,1.0,1,0.27772403
701,2,0.95614034,1.0,0.0,5,0.23651338
51,2,0.6754386,1.0,1.0,2,0.13957216
1025,19,0.85087717,1.0,0.0,4,0.8531948
424,6,0.99122804,0.75,1.0,1,0.8233675
2484,4,0.9736842,0.0,0.0,2,0.3842083
2339,18,0.42105263,1.0,0.0,4,0.55425936
1006,16,0.02631579,0.875,1.0,1,0.85202503
33,13,0.096491225,0.625,0.0,4,0.65393853
1183,9,0.16666667,0.125,1.0,1,0.28164235
2093,0,0.21052632,0.75,1.0,3,0.29856768
1092,8,0.9649123,0.5,1.0,5,0.20885414
2315,7,0.13157895,0.875,1.0,3,0.25469348
996,14,0.9035088,1.0,1.0,4,0.40430003
1388,10,0.23684211,0.875,1.0,1,0.8957354
174,1,0.18421052,0.5,0.0,4,0.95685214
2411,1,0.39473686,0.5,0.0,2,0.9273915
1111,11,0.27192983,0.0,0.0,3,0.055244986
2112,13,0.06140351,0.75,0.0,4,0.4680133
1221,6,0.14035088,0.5,0.0,1,0.9589752
1870,4,0.078947365,0.0,0.0,2,0.54516274
1047,10,0.7105263,0.75,0.0,4,0.6495889
357,14,0.5701754,0.125,0.0,4,0.8113362
699,1,0.5350877,0.0,1.0,3,0.9767373
2356,3,0.64912283,1.0,0.0,2,0.6412272
1763,2,0.8684211,0.125,0.0,4,0.5800813
1469,1,0.3508772,1.0,0.0,5,0.804141
2416,6,0.02631579,0.125,1.0,2,0.8132876
1924,3,0.9122807,0.375,0.0,5,0.899242
2219,3,0.114035085,0.625,0.0,2,0.32831544
902,15,0.8684211,0.375,0.0,1,0.53174096
1748,2,0.5,0.0,0.0,3,0.74829674
586,1,0.5877193,0.5,1.0,5,0.8466324
1430,8,0.877193,0.25,0.0,1,0.7888763
1916,4,0.5263158,0.0,1.0,1,0.24694273
671,4,0.05263158,0.125,1.0,2,0.4294716
2476,7,0.92105263,0.875,1.0,3,1.0
1050,4,0.75438595,0.5,0.0,2,0.7333664
1486,18,0.88596493,0.25,1.0,2,0.5508415
1574,11,0.5,0.0,1.0,5,0.74558836
229,4,0.03508772,0.25,1.0,1,0.87745
2324,17,0.80701756,0.0,0.0,5,0.12734832
1007,16,0.84210527,0.75,1.0,3,0.40083846
1108,13,0.7894737,0.625,0.0,5,0.23486191
496,1,0.2982456,1.0,0.0,1,0.012623979
147,13,0.28070176,0.0,0.0,2,0.37881523
315,13,0.78070176,1.0,1.0,4,0.7511797
797,6,0.95614034,0.375,1.0,5,0.36308575
490,10,0.21052632,0.875,1.0,4,0.13369825
337,16,0.9736842,0.625,1.0,2,0.5626789
565,6,0.34210527,0.875,0.0,3,0.44851148
407,5,0.5701754,0.625,0.0,3,0.6230319
2189,17,0.7719298,0.375,1.0,3,0.3981958
848,4,0.57894737,1.0,0.0,5,0.47418824
240,16,0.36842105,0.0,1.0,3,0.041426018
1024,18,0.9385965,0.25,0.0,1,0.06393165
936,15,0.7719298,0.0,0.0,3,0.25010368
1658,19,0.13157895,0.375,1.0,2,0.14683992
2392,1,0.078947365,0.0,0.0,2,0.2044076
78,3,0.64912283,0.875,0.0,2,0.9806866
2052,18,0.37719297,1.0,0.0,2,0.98757976
1336,19,0.07017544,0.375,1.0,4,0.5912368
2236,0,0.6666667,0.875,0.0,3,0.29311183
1302,9,0.28947368,0.25,0.0,2,0.2279304
839,0,0.9035088,0.375,0.0,5,0.9650242
643,12,0.48245615,0.5,0.0,2,0.63952905
953,3,0.65789473,0.375,1.0,4,0.42554358
1708,14,0.75438595,0.875,1.0,1,0.4726803
1913,7,0.12280702,0.625,1.0,4,0.08430869
345,1,0.68421054,0.625,1.0,3,0.9463036
1764,12,0.9736842,0.75,1.0,3,0.05533933
1436,4,0.5701754,1.0,1.0,4,0.8534237
99,5,0.18421052,0.75,0.0,1,0.4490175
1172,19,0.078947365,0.375,0.0,3,0.4964652
1626,17,0.6403509,0.25,1.0,1,0.12109124
1048,10,0.6666667,0.5,1.0,5,0.6712243
766,1,0.34210527,0.5,1.0,2,0.75901324
942,1,0.4385965,0.75,1.0,1,0.356817
783,16,0.51754385,0.75,1.0,1,0.17193057
1560,19,0.6052632,0.5,0.0,1,0.77786
749,0,0.81578946,0.0,0.0,1,0.23191394
1067,6,0.877193,0.25,1.0,2,0.007974467
2122,6,0.18421052,0.5,0.0,1,0.43964782
182,2,0.9649123,0.25,1.0,3,0.89936185
1114,10,0.95614034,0.75,0.0,4,0.8945424
470,10,0.51754385,0.625,0.0,1,0.39088514
1957,19,0.57894737,1.0,0.0,4,0.12547934
2244,13,0.10526316,0.75,1.0,3,0.18742427
2202,4,0.51754385,1.0,1.0,5,0.32375163
1746,16,0.85087717,0.375,0.0,5,0.99603033
1206,5,0.16666667,0.375,1.0,1,0.20387684
2426,7,0.5964912,0.375,0.0,3,0.2240807
1844,7,0.877193,0.375,1.0,4,0.79563415
1461,12,0.92105263,0.25,1.0,3,0.3785562
24,11,0.02631579,0.125,0.0,1,0.122420676
1980,0,0.078947365,0.5,1.0,3,0.4781032
1768,3,0.8596491,1.0,0.0,1,0.056030143
2378,12,0.94736844,0.5,0.0,5,0.040951878
2482,9,0.5263158,0.125,1.0,2,0.40492615
2301,6,0.12280702,1.0,1.0,4,0.5868587
53,11,0.7719298,1.0,1.0,3,0.18360059
1842,4,0.4122807,1.0,0.0,4,0.21946943
2309,11,0.51754385,0.25,0.0,3,0.6226893
2134,4,0.8245614,0.875,1.0,1,0.33829325
1525,14,0.01754386,0.5,0.0,4,0.32074863
417,8,0.114035085,0.375,1.0,4,0.54854876
2156,9,0.3859649,0.375,1.0,4,0.09351621
1223,6,0.8333333,0.125,0.0,4,0.6479881
1853,12,0.95614034,0.125,1.0,4,0.18740867
1490,17,0.21052632,0.0,1.0,3,0.6054323
1268,12,0.2982456,0.5,0.0,2,0.95763963
351,3,0.5614035,0.25,1.0,2,0.24061066
817,15,0.25438598,0.5,0.0,1,0.9551231
572,13,0.78070176,0.75,1.0,3,0.56409496
500,2,0.3859649,0.625,0.0,3,0.07164097
1,7,0.94736844,0.5,0.0,5,0.26651278
451,11,0.69298244,0.25,0.0,3,0.9654717
1196,5,0.35964912,0.75,1.0,4,0.1160595
2445,5,0.6403509,0.625,0.0,3,0.7074304
2312,14,0.6666667,0.625,1.0,3,0.83091086
205,9,0.1491228,0.625,1.0,5,0.6722913
2269,6,0.8947368,0.875,0.0,4,0.78978854
1509,13,0.88596493,0.375,1.0,4,0.32945225
1290,17,0.5614035,0.875,1.0,2,0.42139846
730,10,0.65789473,1.0,0.0,5,0.18607345
900,16,0.36842105,0.25,1.0,3,0.33861166
881,1,0.65789473,0.875,0.0,5,0.31572494
186,7,0.7631579,0.875,1.0,3,0.98467803
1053,13,0.0,0.5,0.0,3,0.7547303
1918,6,0.3859649,0.75,0.0,2,0.16299586
1906,11,0.06140351,0.0,0.0,3,0.69793624
2343,2,0.61403507,1.0,0.0,1,0.13618048
2323,12,0.9736842,0.875,0.0,2,0.18663377
1380,7,0.68421054,0.75,1.0,2,0.28921297
2347,15,0.28070176,1.0,0.0,4,0.33850577
594,18,0.6315789,1.0,1.0,4,0.31911126
1060,13,0.9385965,1.0,1.0,3,0.23659916
879,9,0.8596491,0.875,0.0,2,0.7646626
429,16,0.99122804,0.75,1.0,5,0.4053316
639,8,0.6315789,1.0,1.0,2,0.42016402
2138,16,0.7631579,0.0,1.0,5,0.976945
813,4,0.24561404,0.0,0.0,2,0.91840774
247,5,0.99122804,0.375,1.0,5,0.39671993
125,0,0.24561404,0.125,1.0,1,0.3242154
1882,15,0.3508772,0.875,0.0,3,0.93618494
41,9,0.078947365,1.0,0.0,2,0.82216024
838,15,0.3508772,0.25,0.0,3,0.66150004
